date_disclosed,country,ifc_country_code,sector,project_name,project_number,company_name,status,ifc_investment_for_risk_management_million_usd,ifc_investment_for_guarantee_million_usd,ifc_investment_for_loan_million_usd,ifc_investment_for_equity_million_usd,total_ifc_investment_as_approved_by_board_million_usd
25.03.16,China,CHA,Financial Institutions,CHG Loan,37869,CHONGQING ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE HOUZE SMALL LOAN COMPANY LIMITED,Active,NA,NA,40,20,60
24.03.16,Haiti,HAI,Financial Institutions,ACME Haiti,34631,ACTION POUR LA COOPERATION AVEC LA MICRO ENTREPRISE SA,Pending Approval,NA,NA,5,NA,5
24.03.16,"Egypt, Arab Republic of",EGT,Financial Institutions,AAIB SL,37161,ARAB AFRICAN INTERNATIONAL BANK,Active,NA,NA,100,NA,100
23.03.16,Peru,PER,Financial Institutions,BanBif Subdebt 3,37801,Banco Interamericano de Finanzas,Hold,NA,NA,NA,NA,NA
23.03.16,World Region,WLD,Financial Institutions,GTLP UniCredit,38086,UNICREDIT SPA,Completed,NA,250,NA,NA,250
22.03.16,Chile,CHL,Financial Institutions,Tanner CL II,37934,Tanner Servicios Financieros S.A.,Active,NA,NA,50,NA,50
21.03.16,Papua New Guinea,PAP,Financial Institutions,BSP PNG A Loan,37706,BANK OF SOUTH PACIFIC LIMITED,Active,NA,NA,30,NA,30
21.03.16,Lao People's Democratic Republic,LAO,Financial Institutions,BFL Loan,38024,BANQUE FRANCO-LAO LTD,Completed,NA,NA,15,NA,15
18.03.16,Western Africa Region,WAN,Funds,AFIG Fund II,37643,AFIG FUND II LP,Active,NA,NA,NA,15,15
18.03.16,Romania,ROM,Health and Education,MedLife IV,37926,MEDLIFE SA,Completed,NA,NA,11.11,NA,11.11
18.03.16,Nigeria,NIR,Infrastructure,Indorama Port,38096,OIS INDORAMA PORT LIMITED,Completed,NA,NA,52.5,NA,52.5
18.03.16,Cambodia,KAM,Financial Institutions,Prasac AB Loan,38235,PRASAC MICROFINANCE INSTITUTION LIMITED,Active,NA,NA,20,NA,20
17.03.16,China,CHA,Manufacturing,Envision,36094,Envision Energy Limited,Active,NA,NA,50,NA,50
17.03.16,India,IND,Manufacturing,DCM Shriram Limited Bharuch II,36511,DCM SHRIRAM LIMITED,Active,NA,NA,60,NA,60
17.03.16,Kenya,KEN,Health and Education,Insta II,37870,INSTA PRODUCTS (EPZ) LTD,Active,NA,NA,3.5,NA,3.5
16.03.16,India,IND,Health and Education,HCG,37903,HEALTHCARE GLOBAL ENTERPRISES LIMITED,Active,NA,NA,NA,19.9,19.9
16.03.16,Africa Region,AFR,Funds,Adenia IV,38040,ADENIA CAPITAL IV LP,Active,NA,NA,NA,22.29,22.29
14.03.16,Jordan,JOR,Agribusiness and Forestry,MENA Hygienic Holding Group,35953,FINE HYGIENIC HOLDING GROUP LIMITED,Active,NA,NA,35,NA,35
11.03.16,World Region,WLD,Financial Institutions,CCFP BTMU-II,37699,"MUFG BANK, LTD.",Completed,NA,100,NA,NA,100
08.03.16,World Region,WLD,Infrastructure,MCPP Infrastructure,37488,EASTSPRING INFRASTRUCTURE DEBT FUND,Active,NA,NA,0,125,125
07.03.16,Ecuador,ECU,Health and Education,Fybeca,37855,PROVEFARMA SA,Active,NA,NA,30,NA,30
04.03.16,Turkey,TUR,Funds,Mediterra CP II,37507,MEDITERRA CAPITAL PARTNERS II LP,Active,NA,NA,NA,16.67,16.67
03.03.16,Jordan,JOR,Funds,Foursan Capital Partners  II,36220,Foursan Capital Partners II,Active,NA,NA,NA,20,20
